rank	gene	description	N	n	CpG_transition	other_CG_transition	CG_transversion	AT_mutation	indelPlusnull	p	q
285	WFIKKN2	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2	455413	4	0	1	2	0	1	0.0093	0.62
286	GRLF1	glucocorticoid receptor DNA binding factor 1	1256603	6	0	1	1	1	3	0.0094	0.62
287	ZNF16	zinc finger protein 16	701530	5	0	0	3	1	1	0.0094	0.62
288	LDOC1L	leucine zipper, down-regulated in cancer 1-like	156576	2	0	0	0	1	1	0.0095	0.62
289	TTC16	tetratricopeptide repeat domain 16	295049	3	0	1	1	0	1	0.0095	0.62
290	INHBA	inhibin, beta A	429916	3	1	0	0	0	2	0.0096	0.62
291	NLRP3	NLR family, pyrin domain containing 3	1069702	6	0	1	4	0	1	0.0098	0.63
292	CBLC	Cas-Br-M (murine) ecotropic retroviral transforming sequence c	340655	3	0	1	0	1	1	0.0098	0.63
293	HHATL	hedgehog acyltransferase-like	497942	4	0	1	1	2	0	0.0099	0.64
294	KLK7	kallikrein-related peptidase 7	180514	2	0	1	0	0	1	0.010	0.65
295	NEUROD1	neurogenic differentiation 1	361095	3	0	0	1	0	2	0.010	0.66
296	MED19	mediator complex subunit 19	123952	2	0	1	0	1	0	0.010	0.66
297	ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)	606916	4	1	0	1	0	2	0.010	0.66
298	ADCY1	adenylate cyclase 1 (brain)	945196	4	4	0	0	0	0	0.011	0.67
299	SLITRK3	SLIT and NTRK-like family, member 3	1007377	5	2	0	1	1	1	0.011	0.67
300	ARID2	AT rich interactive domain 2 (ARID, RFX-like)	1797602	7	1	3	2	1	0	0.011	0.67
301	TAPBP	TAP binding protein (tapasin)	394857	3	1	2	0	0	0	0.011	0.68
302	MYH4	myosin, heavy chain 4, skeletal muscle	1977040	9	1	0	5	2	1	0.011	0.68
303	GALNT1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)	580510	3	0	2	0	0	1	0.011	0.68
304	SOX5	SRY (sex determining region Y)-box 5	803209	5	0	1	1	3	0	0.011	0.68
305	NCF2	neutrophil cytosolic factor 2 (65kDa, chronic granulomatous disease, autosomal 2)	572157	4	1	0	1	2	0	0.011	0.68
306	KRT72	keratin 72	438905	4	1	1	1	1	0	0.011	0.68
307	B2M	beta-2-microglobulin	124084	2	0	0	0	2	0	0.011	0.68
308	BPIL1	bactericidal/permeability-increasing protein-like 1	454127	4	1	1	1	1	0	0.011	0.68
309	CCDC136	coiled-coil domain containing 136	784318	4	1	0	0	1	2	0.011	0.69
310	SLITRK2	SLIT and NTRK-like family, member 2	763410	4	1	2	0	1	0	0.011	0.69
311	LMNA	lamin A/C	484140	4	1	0	1	2	0	0.011	0.69
312	NLRP4	NLR family, pyrin domain containing 4	1019763	5	3	0	1	1	0	0.011	0.69
313	ATF1	activating transcription factor 1	277265	3	0	0	2	1	0	0.011	0.69
314	DHX34	DEAH (Asp-Glu-Ala-His) box polypeptide 34	813482	4	0	0	0	3	1	0.011	0.69
315	MSMB	microseminoprotein, beta-	119245	2	0	0	0	2	0	0.012	0.69
316	ERN2	endoplasmic reticulum to nucleus signaling 2	749958	5	0	1	1	2	1	0.012	0.69
317	KLHL9	kelch-like 9 (Drosophila)	577709	3	1	1	0	0	1	0.012	0.69
318	COL9A2	collagen, type IX, alpha 2	466383	3	0	1	0	0	2	0.012	0.69
319	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	1874212	9	1	0	5	3	0	0.012	0.69
320	PEG3	paternally expressed 3	1653837	6	3	1	2	0	0	0.012	0.69
321	IL21R	interleukin 21 receptor	469119	3	0	1	0	0	2	0.012	0.69
322	HACE1	HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1	884047	5	0	2	2	1	0	0.012	0.69
323	C19orf53	chromosome 19 open reading frame 53	78990	2	1	0	1	0	0	0.012	0.69
324	ADRA2B	adrenergic, alpha-2B-, receptor	240748	3	2	0	1	0	0	0.012	0.69
325	LAIR1	leukocyte-associated immunoglobulin-like receptor 1	279770	3	0	0	1	1	1	0.012	0.69
326	C19orf6	chromosome 19 open reading frame 6	39945	1	0	0	0	0	1	0.012	0.69
327	CHMP4A	chromatin modifying protein 4A	271662	3	0	1	1	1	0	0.012	0.69
328	DDO	D-aspartate oxidase	373642	3	0	1	0	1	1	0.012	0.71
329	C8orf73	chromosome 8 open reading frame 73	110625	2	0	0	1	0	1	0.012	0.71
330	OR2F2	olfactory receptor, family 2, subfamily F, member 2	313828	3	0	0	1	2	0	0.013	0.71
331	SEC63	SEC63 homolog (S. cerevisiae)	745197	3	0	0	0	0	3	0.013	0.71
332	IFNA13	interferon, alpha 13	103988	2	0	0	1	1	0	0.013	0.71
333	SCML4	sex comb on midleg-like 4 (Drosophila)	260015	3	0	1	2	0	0	0.013	0.71
334	PACS1	phosphofurin acidic cluster sorting protein 1	870163	5	2	0	2	0	1	0.013	0.71
335	FAM166A		88270	2	0	0	1	1	0	0.013	0.71
336	BCHE	butyrylcholinesterase	601190	4	0	0	3	1	0	0.013	0.71
337	UBXN2B		272500	2	0	2	0	0	0	0.013	0.71
338	KLF15	Kruppel-like factor 15	89880	2	0	0	2	0	0	0.013	0.71
339	PAH	phenylalanine hydroxylase	486074	3	0	0	0	1	2	0.013	0.71
340	CD84	CD84 molecule	348123	2	2	0	0	0	0	0.013	0.71
341	CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	2148826	7	0	1	0	3	3	0.013	0.71
342	C21orf57	chromosome 21 open reading frame 57	125553	2	0	0	0	2	0	0.013	0.72
343	SLFN13	schlafen family member 13	793435	3	0	0	0	0	3	0.013	0.72
344	NTM		376428	3	2	0	1	0	0	0.013	0.72
345	PANK4	pantothenate kinase 4	200639	2	0	0	0	2	0	0.013	0.72
346	AVPR1B	arginine vasopressin receptor 1B	319346	3	0	0	1	1	1	0.013	0.72
347	GPRIN3	GPRIN family member 3	759016	5	0	0	3	2	0	0.013	0.72
348	HLA-G	major histocompatibility complex, class I, G	282583	3	0	1	1	1	0	0.013	0.72
349	PPP2R1A	protein phosphatase 2 (formerly 2A), regulatory subunit A , alpha isoform	568143	4	2	0	1	1	0	0.013	0.72
350	CETN1	centrin, EF-hand protein, 1	144554	2	1	0	0	0	1	0.013	0.72
351	SDC2	syndecan 2	196265	2	1	0	0	1	0	0.013	0.72
352	RYR2	ryanodine receptor 2 (cardiac)	4399424	15	1	1	7	6	0	0.013	0.72
353	PPFIA4	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4	570250	4	0	2	1	1	0	0.013	0.72
354	SCN3B	sodium channel, voltage-gated, type III, beta	227701	2	2	0	0	0	0	0.014	0.72
355	BLOC1S3	biogenesis of lysosome-related organelles complex-1, subunit 3	26075	1	0	0	0	0	1	0.014	0.72
356	BCORL1	BCL6 co-repressor-like 1	1551365	7	3	0	1	2	1	0.014	0.74
357	RUNDC3A	RUN domain containing 3A	191956	2	2	0	0	0	0	0.014	0.74
358	SLC13A1	solute carrier family 13 (sodium/sulfate symporters), member 1	612293	3	0	2	0	0	1	0.014	0.74
359	LLGL2	lethal giant larvae homolog 2 (Drosophila)	397050	3	0	0	1	0	2	0.014	0.74
360	EPB41L3	erythrocyte membrane protein band 4.1-like 3	1113458	5	2	0	0	3	0	0.014	0.74
361	PACS2	phosphofurin acidic cluster sorting protein 2	285755	3	0	1	1	1	0	0.014	0.74
362	DLX6	distal-less homeobox 6	130295	2	0	0	1	0	1	0.014	0.74
363	FAM102A	family with sequence similarity 102, member A	235978	2	0	2	0	0	0	0.014	0.74
364	IFNA1	interferon, alpha 1	109554	2	0	0	1	1	0	0.014	0.74
365	C10orf137	chromosome 10 open reading frame 137	1219954	6	0	1	4	1	0	0.014	0.74
366	TDG	thymine-DNA glycosylase	402690	3	0	1	1	0	1	0.014	0.74
367	RAB28	RAB28, member RAS oncogene family	239818	2	1	0	0	1	0	0.014	0.74
368	LRRC15	leucine rich repeat containing 15	555459	4	1	0	1	2	0	0.014	0.74
369	HKDC1	hexokinase domain containing 1	904706	5	0	0	1	3	1	0.014	0.74
370	GMPR2	guanosine monophosphate reductase 2	339839	3	0	0	2	0	1	0.014	0.74
371	SS18L1	synovial sarcoma translocation gene on chromosome 18-like 1	141029	2	1	1	0	0	0	0.014	0.74
372	WNT11	wingless-type MMTV integration site family, member 11	229864	2	0	2	0	0	0	0.015	0.74
373	MAST3	microtubule associated serine/threonine kinase 3	738622	4	0	1	0	2	1	0.015	0.74
374	NALCN	sodium leak channel, non-selective	1829667	8	2	0	2	4	0	0.015	0.75
375	MRPL42	mitochondrial ribosomal protein L42	150668	2	0	0	1	0	1	0.015	0.75
376	BDKRB2	bradykinin receptor B2	371062	3	1	1	0	1	0	0.015	0.75
377	FAM70B	family with sequence similarity 70, member B	149740	2	1	1	0	0	0	0.015	0.75
378	ASB12	ankyrin repeat and SOCS box-containing 12	314033	3	0	0	1	2	0	0.015	0.75
379	FAM200A		236807	2	1	0	1	0	0	0.015	0.75
380	GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	492883	3	2	0	0	1	0	0.015	0.75
381	COL9A1	collagen, type IX, alpha 1	900958	5	1	0	1	2	1	0.015	0.75
382	COL4A5	collagen, type IV, alpha 5 (Alport syndrome)	1717088	4	2	2	0	0	0	0.015	0.75
383	FAP	fibroblast activation protein, alpha	800654	4	0	1	1	0	2	0.015	0.75
384	SNED1	sushi, nidogen and EGF-like domains 1	403745	3	0	1	0	1	1	0.015	0.75
385	KIAA1462	KIAA1462	1196955	5	1	0	1	0	3	0.015	0.75
386	MYO3A	myosin IIIA	1664602	7	0	1	1	5	0	0.015	0.75
387	AMBN	ameloblastin (enamel matrix protein)	443060	3	1	1	1	0	0	0.016	0.75
388	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	1324536	7	0	1	2	3	1	0.016	0.75
389	SYNGAP1	synaptic Ras GTPase activating protein 1 homolog (rat)	1251266	6	0	2	1	1	2	0.016	0.75
390	C4orf23	chromosome 4 open reading frame 23	337249	3	1	1	1	0	0	0.016	0.75
391	GLO1	glyoxalase I	173927	2	0	1	1	0	0	0.016	0.75
392	RILP	Rab interacting lysosomal protein	116464	2	0	1	1	0	0	0.016	0.75
393	TMEM37	transmembrane protein 37	180741	2	0	0	0	1	1	0.016	0.75
394	NR4A2	nuclear receptor subfamily 4, group A, member 2	511826	3	1	0	0	0	2	0.016	0.75
395	FARSA	phenylalanyl-tRNA synthetase, alpha subunit	433696	4	1	0	2	1	0	0.016	0.76
396	YSK4	yeast Sps1/Ste20-related kinase 4 (S. cerevisiae)	1354855	7	0	1	2	3	1	0.016	0.77
397	KCTD14	potassium channel tetramerisation domain containing 14	250246	2	2	0	0	0	0	0.017	0.79
398	WBP2NL	WBP2 N-terminal like	305867	3	0	1	1	1	0	0.017	0.79
399	C11orf65	chromosome 11 open reading frame 65	313301	2	1	0	1	0	0	0.017	0.79
400	EZH1	enhancer of zeste homolog 1 (Drosophila)	740953	4	1	0	0	2	1	0.017	0.79
401	KISS1R	KISS1 receptor	7108	1	0	0	1	0	0	0.017	0.79
402	WDR5B	WD repeat domain 5B	335273	3	0	0	2	1	0	0.017	0.79
403	GNB2	guanine nucleotide binding protein (G protein), beta polypeptide 2	232909	2	0	0	0	2	0	0.017	0.79
404	ANKRD57	ankyrin repeat domain 57	156666	2	1	1	0	0	0	0.017	0.79
405	METTL12		202300	2	0	1	0	0	1	0.017	0.79
406	OVGP1	oviductal glycoprotein 1, 120kDa (mucin 9, oviductin)	725297	4	0	2	1	0	1	0.017	0.79
407	PQBP1	polyglutamine binding protein 1	196272	2	0	0	0	1	1	0.017	0.79
408	ANP32C	acidic (leucine-rich) nuclear phosphoprotein 32 family, member C	227547	2	1	1	0	0	0	0.017	0.79
409	KIR2DL3	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3	277206	2	0	2	0	0	0	0.017	0.79
410	NR1H4	nuclear receptor subfamily 1, group H, member 4	479436	3	1	0	1	0	1	0.017	0.79
411	GLIS2	GLIS family zinc finger 2	55302	1	0	0	0	0	1	0.017	0.79
412	PSTPIP1	proline-serine-threonine phosphatase interacting protein 1	56810	1	0	0	0	0	1	0.017	0.79
413	CCAR1	cell division cycle and apoptosis regulator 1	1117328	6	0	1	3	2	0	0.018	0.80
414	CEBPE	CCAAT/enhancer binding protein (C/EBP), epsilon	233229	2	0	0	0	2	0	0.018	0.80
415	PPBP	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	138195	2	0	0	2	0	0	0.018	0.80
416	TMEM70	transmembrane protein 70	200411	2	0	1	1	0	0	0.018	0.80
417	LRRK2	leucine-rich repeat kinase 2	2572285	10	1	2	2	4	1	0.018	0.80
418	ARL15	ADP-ribosylation factor-like 15	132210	2	0	0	2	0	0	0.018	0.80
419	NDUFB7	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa	32170	1	0	1	0	0	0	0.018	0.80
420	MGAT4C	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme C (putative)	413721	3	0	0	0	2	1	0.018	0.81
421	HIST4H4	histone cluster 4, H4	96395	2	2	0	0	0	0	0.018	0.82
422	RPLP1	ribosomal protein, large, P1	83444	1	1	0	0	0	0	0.018	0.82
423	DCUN1D4	DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae)	298112	2	1	0	1	0	0	0.018	0.82
424	USO1	USO1 homolog, vesicle docking protein (yeast)	702898	4	0	0	1	1	2	0.018	0.82
425	MSLNL		111678	2	0	0	1	1	0	0.018	0.82
426	BST2	bone marrow stromal cell antigen 2	176201	2	0	1	0	1	0	0.018	0.82
427	KCNE4	potassium voltage-gated channel, Isk-related family, member 4	134233	2	1	0	0	1	0	0.019	0.82
428	OR5B2	olfactory receptor, family 5, subfamily B, member 2	318010	2	1	0	1	0	0	0.019	0.82
429	GADD45GIP1	growth arrest and DNA-damage-inducible, gamma interacting protein 1	120919	2	0	0	1	1	0	0.019	0.82
430	AURKC	aurora kinase C	307771	3	0	0	2	1	0	0.019	0.82
431	OR52N5	olfactory receptor, family 52, subfamily N, member 5	302728	2	0	0	0	0	2	0.019	0.82
432	CDH17	cadherin 17, LI cadherin (liver-intestine)	857562	5	0	0	3	1	1	0.019	0.82
433	FAM45A	family with sequence similarity 45, member A	311300	2	0	2	0	0	0	0.019	0.82
434	IL7R	interleukin 7 receptor	485521	3	0	0	0	3	0	0.019	0.82
435	CASP5	caspase 5, apoptosis-related cysteine peptidase	462253	3	1	0	1	0	1	0.019	0.82
436	COL5A3	collagen, type V, alpha 3	1500412	7	0	3	3	0	1	0.019	0.82
437	SLC39A11	solute carrier family 39 (metal ion transporter), member 11	334110	3	1	0	2	0	0	0.019	0.82
438	TMPRSS3	transmembrane protease, serine 3	476963	3	0	0	1	0	2	0.019	0.82
439	PSORS1C1	psoriasis susceptibility 1 candidate 1	160762	2	0	0	1	0	1	0.019	0.82
440	CDC27	cell division cycle 27 homolog (S. cerevisiae)	783351	4	0	0	0	2	2	0.019	0.82
441	GPS2	G protein pathway suppressor 2	300006	2	1	0	0	0	1	0.019	0.82
442	TBC1D21	TBC1 domain family, member 21	345905	3	0	0	1	2	0	0.019	0.82
443	ZMIZ2	zinc finger, MIZ-type containing 2	579367	4	0	0	3	0	1	0.019	0.82
444	WDR90	WD repeat domain 90	160893	2	1	0	0	1	0	0.019	0.82
445	WDR81	WD repeat domain 81	144027	2	0	0	1	0	1	0.019	0.82
446	CPA5	carboxypeptidase A5	431037	3	0	1	0	1	1	0.019	0.82
447	TOM1	target of myb1 (chicken)	425141	3	0	1	0	1	1	0.020	0.82
448	CHST9	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9	403330	2	1	1	0	0	0	0.020	0.82
449	MLXIP	MLX interacting protein	477021	3	0	0	0	2	1	0.020	0.82
450	GPR119	G protein-coupled receptor 119	339591	3	0	1	2	0	0	0.020	0.82
451	CHMP1B	chromatin modifying protein 1B	163890	2	2	0	0	0	0	0.020	0.82
452	ACOT9	acyl-CoA thioesterase 9	444332	3	0	0	3	0	0	0.020	0.82
453	PRTN3	proteinase 3 (serine proteinase, neutrophil, Wegener granulomatosis autoantigen)	22895	1	0	0	0	1	0	0.020	0.82
454	GAB2	GRB2-associated binding protein 2	684065	4	0	2	2	0	0	0.020	0.82
455	PRDM9	PR domain containing 9	802856	5	0	1	3	1	0	0.020	0.82
456	PABPN1	poly(A) binding protein, nuclear 1	185022	2	0	1	0	1	0	0.020	0.82
457	C9orf167	chromosome 9 open reading frame 167	7828	1	1	0	0	0	0	0.020	0.82
458	DDIT3	DNA-damage-inducible transcript 3	174231	2	0	1	0	1	0	0.020	0.82
459	ACTL8	actin-like 8	340357	3	0	0	2	0	1	0.020	0.82
460	FLT4	fms-related tyrosine kinase 4	466262	3	0	1	0	2	0	0.020	0.82
461	CNBD1	cyclic nucleotide binding domain containing 1	333231	3	0	0	1	2	0	0.020	0.82
462	MUC2	mucin 2, oligomeric mucus/gel-forming	181899	2	0	1	0	1	0	0.020	0.82
463	NCAM2	neural cell adhesion molecule 2	724587	4	0	1	2	0	1	0.020	0.82
464	UIMC1	ubiquitin interaction motif containing 1	738407	4	1	0	1	1	1	0.020	0.82
465	WNT9A	wingless-type MMTV integration site family, member 9A	166079	2	1	1	0	0	0	0.020	0.82
466	DEPDC6	DEP domain containing 6	409800	3	0	1	1	0	1	0.020	0.82
467	OTOP2	otopetrin 2	444464	3	1	0	0	2	0	0.020	0.82
468	ANGPT1	angiopoietin 1	520938	3	0	0	0	1	2	0.020	0.82
469	CHPF2		499975	4	1	0	3	0	0	0.020	0.82
470	ST18	suppression of tumorigenicity 18 (breast carcinoma) (zinc finger protein)	1075279	4	2	0	0	2	0	0.020	0.82
471	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	258708	2	0	1	0	0	1	0.021	0.82
472	SCGN	secretagogin, EF-hand calcium binding protein	296056	2	2	0	0	0	0	0.021	0.82
473	VMO1	vitelline membrane outer layer 1 homolog (chicken)	155571	2	1	1	0	0	0	0.021	0.82
474	FAM123C	family with sequence similarity 123C	332301	3	0	1	1	1	0	0.021	0.82
475	DIDO1	death inducer-obliterator 1	1337245	6	1	3	1	1	0	0.021	0.82
476	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	231119	2	0	0	2	0	0	0.021	0.83
477	SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1	333718	2	0	2	0	0	0	0.021	0.83
478	SLC17A6	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6	570126	4	0	0	2	2	0	0.021	0.83
479	CLDN17	claudin 17	225212	2	0	0	0	2	0	0.021	0.83
480	TMEM126A	transmembrane protein 126A	193419	2	0	1	0	1	0	0.021	0.83
481	RASA3	RAS p21 protein activator 3	474549	3	0	0	0	2	1	0.021	0.83
482	SCGB2A2	secretoglobin, family 2A, member 2	99330	1	1	0	0	0	0	0.021	0.83
483	GZMA	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)	269957	2	1	0	0	1	0	0.021	0.83
484	OR11H12	olfactory receptor, family 11, subfamily H, member 12	176675	2	0	0	1	0	1	0.021	0.83
485	CST3	cystatin C	67887	1	0	0	0	0	1	0.021	0.83
486	MAK16		300442	2	1	1	0	0	0	0.022	0.83
487	KRTAP5-5	keratin associated protein 5-5	173001	2	0	0	1	0	1	0.022	0.83
488	KIAA1614	KIAA1614	738534	5	0	1	3	1	0	0.022	0.83
489	FAM83D	family with sequence similarity 83, member D	395546	3	0	0	2	0	1	0.022	0.83
490	HIST1H2AM	histone cluster 1, H2am	120495	2	0	0	1	1	0	0.022	0.83
491	OR5B17	olfactory receptor, family 5, subfamily B, member 17	315869	2	1	0	0	1	0	0.022	0.83
492	KHDRBS2	KH domain containing, RNA binding, signal transduction associated 2	364204	3	0	0	1	2	0	0.022	0.83
493	LIPI	lipase, member I	463819	3	0	1	0	2	0	0.022	0.83
494	FAM166B		171691	2	0	0	1	0	1	0.022	0.83
495	OR4S2	olfactory receptor, family 4, subfamily S, member 2	296789	2	1	0	0	1	0	0.022	0.83
496	DMKN	dermokine	469815	3	0	0	1	0	2	0.022	0.83
497	TBX10	T-box 10	201981	2	0	0	0	1	1	0.022	0.83
498	C17orf70	chromosome 17 open reading frame 70	164929	2	0	0	1	0	1	0.022	0.83
499	MYH15	myosin, heavy chain 15	1785457	5	1	3	0	1	0	0.022	0.83
500	CD99L2	CD99 molecule-like 2	240882	2	1	1	0	0	0	0.022	0.83
501	CLEC14A	C-type lectin domain family 14, member A	294218	3	0	0	2	1	0	0.022	0.83
502	SLC28A2	solute carrier family 28 (sodium-coupled nucleoside transporter), member 2	690029	4	0	2	1	1	0	0.022	0.83
503	HDAC11	histone deacetylase 11	296293	2	0	0	0	0	2	0.022	0.83
504	ZNF804A	zinc finger protein 804A	1180988	5	1	1	2	1	0	0.022	0.83
505	CDH6	cadherin 6, type 2, K-cadherin (fetal kidney)	818692	4	2	1	1	0	0	0.022	0.83
506	GPR78	G protein-coupled receptor 78	103260	2	1	0	1	0	0	0.022	0.83
507	TBX4	T-box 4	475767	3	0	1	0	2	0	0.022	0.83
508	SP100	SP100 nuclear antigen	1057870	4	1	0	1	0	2	0.022	0.83
509	SPOCD1	SPOC domain containing 1	776681	5	0	1	3	1	0	0.022	0.83
510	SSPO	SCO-spondin homolog (Bos taurus)	996163	4	0	0	1	0	3	0.023	0.84
511	MT4	metallothionein 4	61070	1	0	0	0	0	1	0.023	0.84
512	MIB1	mindbomb homolog 1 (Drosophila)	973372	5	1	0	2	1	1	0.023	0.84
513	HTR1F	5-hydroxytryptamine (serotonin) receptor 1F	356708	3	0	0	1	2	0	0.023	0.84
514	SLC9A10	solute carrier family 9, member 10	1181634	3	2	0	0	1	0	0.023	0.84
515	TXNDC3	thioredoxin domain containing 3 (spermatozoa)	597990	3	1	1	1	0	0	0.023	0.84
516	SALL4	sal-like 4 (Drosophila)	983590	5	0	2	2	0	1	0.023	0.84
517	RGS4	regulator of G-protein signaling 4	277192	2	1	0	0	1	0	0.023	0.84
518	CASS4	Cas scaffolding protein family member 4	751631	4	1	1	0	1	1	0.023	0.84
519	FSHR	follicle stimulating hormone receptor	714412	4	0	0	1	3	0	0.023	0.84
520	RASSF2	Ras association (RalGDS/AF-6) domain family member 2	334737	3	1	0	2	0	0	0.023	0.84
521	OSCP1		449085	3	1	1	1	0	0	0.023	0.84
522	KDM5C		1518733	6	1	3	1	0	1	0.023	0.84
523	NR2F1	nuclear receptor subfamily 2, group F, member 1	240933	2	0	0	0	2	0	0.023	0.84
524	KCNA6	potassium voltage-gated channel, shaker-related subfamily, member 6	471483	3	0	0	1	0	2	0.023	0.84
525	RNASEL	ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent)	759327	4	0	1	0	2	1	0.023	0.84
526	TTC15	tetratricopeptide repeat domain 15	445933	3	1	0	0	2	0	0.023	0.84
527	GSG2	germ cell associated 2 (haspin)	558616	3	0	0	0	1	2	0.024	0.84
528	STX5	syntaxin 5	325682	2	0	0	0	0	2	0.024	0.84
529	SEC23A	Sec23 homolog A (S. cerevisiae)	774888	4	1	0	1	2	0	0.024	0.84
530	AASDH	aminoadipate-semialdehyde dehydrogenase	1060284	5	0	0	2	1	2	0.024	0.84
531	OR7D4	olfactory receptor, family 7, subfamily D, member 4	309370	2	0	2	0	0	0	0.024	0.84
532	SPANXN3	SPANX family, member N3	149862	2	0	0	1	1	0	0.024	0.84
533	SHARPIN	SHANK-associated RH domain interactor	233306	2	0	1	0	0	1	0.024	0.84
534	KAZALD1	Kazal-type serine peptidase inhibitor domain 1	130439	2	0	0	1	1	0	0.024	0.84
535	CALCR	calcitonin receptor	512737	3	1	0	0	1	1	0.024	0.84
536	HAO1	hydroxyacid oxidase (glycolate oxidase) 1	387413	2	2	0	0	0	0	0.024	0.84
537	KRTAP10-9	keratin associated protein 10-9	230014	2	0	1	0	0	1	0.024	0.84
538	HIST2H2BE	histone cluster 2, H2be	117321	2	0	0	1	1	0	0.024	0.84
539	ITIH5	inter-alpha (globulin) inhibitor H5	920742	5	1	0	3	0	1	0.024	0.84
540	PCDHA9	protocadherin alpha 9	634566	4	0	1	1	2	0	0.024	0.84
541	CEACAM18	carcinoembryonic antigen-related cell adhesion molecule 18	328351	2	0	0	0	0	2	0.024	0.84
542	PTGDS	prostaglandin D2 synthase 21kDa (brain)	72107	1	0	0	0	0	1	0.024	0.84
543	KRTAP27-1	keratin associated protein 27-1	213643	2	0	1	0	1	0	0.024	0.84
544	THBS2	thrombospondin 2	704614	4	1	0	1	0	2	0.024	0.84
545	TNFAIP3	tumor necrosis factor, alpha-induced protein 3	732723	4	0	0	1	3	0	0.024	0.84
546	UGT3A2	UDP glycosyltransferase 3 family, polypeptide A2	533228	2	2	0	0	0	0	0.024	0.84
547	LARP7	La ribonucleoprotein domain family, member 7	475024	3	0	1	0	2	0	0.024	0.84
548	PQLC1	PQ loop repeat containing 1	72674	1	0	0	0	0	1	0.025	0.84
549	RCOR2	REST corepressor 2	247042	2	1	0	0	0	1	0.025	0.84
550	FRG2	FSHD region gene 2	141423	2	0	0	1	1	0	0.025	0.84
551	CD163	CD163 molecule	1225432	6	0	2	2	2	0	0.025	0.84
552	COMMD3	COMM domain containing 3	101929	1	1	0	0	0	0	0.025	0.84
553	ALPP	alkaline phosphatase, placental (Regan isozyme)	286051	2	0	2	0	0	0	0.025	0.84
554	EFCAB6	EF-hand calcium binding domain 6	1513496	5	1	0	1	0	3	0.025	0.84
555	LPCAT1	lysophosphatidylcholine acyltransferase 1	420091	3	1	0	0	1	1	0.025	0.84
556	UGT2A1	UDP glucuronosyltransferase 2 family, polypeptide A1	533785	3	1	0	1	1	0	0.025	0.84
557	MAGEA11	melanoma antigen family A, 11	405785	3	0	1	2	0	0	0.025	0.84
558	GRK1	G protein-coupled receptor kinase 1	123425	2	1	0	1	0	0	0.025	0.84
559	C5orf33	chromosome 5 open reading frame 33	350610	2	0	0	0	0	2	0.025	0.84
560	NPHS1	nephrosis 1, congenital, Finnish type (nephrin)	1041665	5	3	0	1	0	1	0.025	0.84
561	ATP9A	ATPase, class II, type 9A	1049309	5	2	1	0	2	0	0.025	0.84
562	FCGR1A	Fc fragment of IgG, high affinity Ia, receptor (CD64)	228484	2	0	0	0	2	0	0.025	0.84
563	EPS8L3	EPS8-like 3	572726	4	0	0	2	1	1	0.025	0.84
564	C9orf96	chromosome 9 open reading frame 96	341206	2	0	0	0	0	2	0.025	0.84
565	TCIRG1	T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3	317639	3	0	0	2	1	0	0.025	0.84
566	IRS4	insulin receptor substrate 4	1030074	5	1	2	1	0	1	0.025	0.84
567	HOXB1	homeobox B1	276257	2	0	0	0	2	0	0.026	0.84
568	FXYD2	FXYD domain containing ion transport regulator 2	47472	1	0	1	0	0	0	0.026	0.84
569	ST3GAL3	ST3 beta-galactoside alpha-2,3-sialyltransferase 3	461301	3	2	0	1	0	0	0.026	0.84
570	PGAP3		209229	2	0	1	0	1	0	0.026	0.84
571	ZC3H6	zinc finger CCCH-type containing 6	900296	4	0	2	0	2	0	0.026	0.84
572	CDKN2C	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	156967	2	1	0	1	0	0	0.026	0.84
573	IL17RC	interleukin 17 receptor C	507773	3	1	0	0	2	0	0.026	0.85
574	PLSCR1	phospholipid scramblase 1	331104	2	1	0	1	0	0	0.026	0.85
